Sample,Repeat,Read_No
DMPX_BM1-N701-A-S503-A_S13_L001,193,0
DMPX_BM1-N701-A-S503-A_S13_L001,194,0
DMPX_BM1-N701-A-S503-A_S13_L001,195,0
DMPX_BM1-N701-A-S503-A_S13_L001,196,0
DMPX_BM1-N701-A-S503-A_S13_L001,197,0
DMPX_BM1-N701-A-S503-A_S13_L001,198,0
DMPX_BM1-N701-A-S503-A_S13_L001,199,0
DMPX_BM1-N701-A-S503-A_S13_L001,200,0
DMPX_BM1-N701-A-S505-A_S25_L001,1,0
DMPX_BM1-N701-A-S505-A_S25_L001,2,0
DMPX_BM1-N701-A-S505-A_S25_L001,3,0
DMPX_BM1-N701-A-S505-A_S25_L001,4,1
DMPX_BM1-N701-A-S505-A_S25_L001,5,2
DMPX_BM1-N701-A-S505-A_S25_L001,6,3
DMPX_BM1-N701-A-S505-A_S25_L001,7,2
DMPX_BM1-N701-A-S505-A_S25_L001,8,3
DMPX_BM1-N701-A-S505-A_S25_L001,9,11
DMPX_BM1-N701-A-S505-A_S25_L001,10,3
DMPX_BM1-N701-A-S505-A_S25_L001,11,8
DMPX_BM1-N701-A-S505-A_S25_L001,12,6
DMPX_BM1-N701-A-S505-A_S25_L001,13,2
DMPX_BM1-N701-A-S505-A_S25_L001,14,8
DMPX_BM1-N701-A-S505-A_S25_L001,15,14
DMPX_BM1-N701-A-S505-A_S25_L001,16,31
DMPX_BM1-N701-A-S505-A_S25_L001,17,81
DMPX_BM1-N701-A-S505-A_S25_L001,18,28
DMPX_BM1-N701-A-S505-A_S25_L001,19,26
DMPX_BM1-N701-A-S505-A_S25_L001,20,15
DMPX_BM1-N701-A-S505-A_S25_L001,21,23
DMPX_BM1-N701-A-S505-A_S25_L001,22,17
DMPX_BM1-N701-A-S505-A_S25_L001,23,13
DMPX_BM1-N701-A-S505-A_S25_L001,24,24
DMPX_BM1-N701-A-S505-A_S25_L001,25,25
DMPX_BM1-N701-A-S505-A_S25_L001,26,28
DMPX_BM1-N701-A-S505-A_S25_L001,27,51
DMPX_BM1-N701-A-S505-A_S25_L001,28,67
DMPX_BM1-N701-A-S505-A_S25_L001,29,104
DMPX_BM1-N701-A-S505-A_S25_L001,30,205
DMPX_BM1-N701-A-S505-A_S25_L001,31,499
DMPX_BM1-N701-A-S505-A_S25_L001,32,1706
DMPX_BM1-N701-A-S505-A_S25_L001,33,4982
DMPX_BM1-N701-A-S505-A_S25_L001,34,10076
DMPX_BM1-N701-A-S505-A_S25_L001,35,870
DMPX_BM1-N701-A-S505-A_S25_L001,36,392
DMPX_BM1-N701-A-S505-A_S25_L001,37,193
DMPX_BM1-N701-A-S505-A_S25_L001,38,317
DMPX_BM1-N701-A-S505-A_S25_L001,39,872
DMPX_BM1-N701-A-S505-A_S25_L001,40,2372
DMPX_BM1-N701-A-S505-A_S25_L001,41,5469
DMPX_BM1-N701-A-S505-A_S25_L001,42,8641
DMPX_BM1-N701-A-S505-A_S25_L001,43,2180
DMPX_BM1-N701-A-S505-A_S25_L001,44,611
DMPX_BM1-N701-A-S505-A_S25_L001,45,309
DMPX_BM1-N701-A-S505-A_S25_L001,46,73
DMPX_BM1-N701-A-S505-A_S25_L001,47,11
DMPX_BM1-N701-A-S505-A_S25_L001,48,3
DMPX_BM1-N701-A-S505-A_S25_L001,49,2
DMPX_BM1-N701-A-S505-A_S25_L001,50,2
DMPX_BM1-N701-A-S505-A_S25_L001,51,1
DMPX_BM1-N701-A-S505-A_S25_L001,52,3
DMPX_BM1-N701-A-S505-A_S25_L001,53,2
DMPX_BM1-N701-A-S505-A_S25_L001,54,0
DMPX_BM1-N701-A-S505-A_S25_L001,55,1
DMPX_BM1-N701-A-S505-A_S25_L001,56,0
DMPX_BM1-N701-A-S505-A_S25_L001,57,1
DMPX_BM1-N701-A-S505-A_S25_L001,58,1
DMPX_BM1-N701-A-S505-A_S25_L001,59,0
DMPX_BM1-N701-A-S505-A_S25_L001,60,0
DMPX_BM1-N701-A-S505-A_S25_L001,61,0
DMPX_BM1-N701-A-S505-A_S25_L001,62,1
DMPX_BM1-N701-A-S505-A_S25_L001,63,0
DMPX_BM1-N701-A-S505-A_S25_L001,64,2
DMPX_BM1-N701-A-S505-A_S25_L001,65,0
DMPX_BM1-N701-A-S505-A_S25_L001,66,0
DMPX_BM1-N701-A-S505-A_S25_L001,67,0
DMPX_BM1-N701-A-S505-A_S25_L001,68,1
DMPX_BM1-N701-A-S505-A_S25_L001,69,0
DMPX_BM1-N701-A-S505-A_S25_L001,70,0
DMPX_BM1-N701-A-S505-A_S25_L001,71,0
DMPX_BM1-N701-A-S505-A_S25_L001,72,0
DMPX_BM1-N701-A-S505-A_S25_L001,73,0
DMPX_BM1-N701-A-S505-A_S25_L001,74,1
DMPX_BM1-N701-A-S505-A_S25_L001,75,0
DMPX_BM1-N701-A-S505-A_S25_L001,76,0
DMPX_BM1-N701-A-S505-A_S25_L001,77,0
DMPX_BM1-N701-A-S505-A_S25_L001,78,0
DMPX_BM1-N701-A-S505-A_S25_L001,79,0
DMPX_BM1-N701-A-S505-A_S25_L001,80,0
